open_time,open,high,low,close
2021-06-12 04:40:00,35221.0,35315.0,35220.5,35286.5
2021-06-12 04:50:00,35286.5,35287.0,35120.0,35252.5
2021-06-12 05:00:00,35252.5,35330.0,35157.0,35262.5
2021-06-12 05:10:00,35262.5,35384.0,35209.5,35369.5
2021-06-12 05:20:00,35369.5,35481.5,35306.0,35387.5
2021-06-12 05:30:00,35387.5,35446.0,35350.0,35350.0
2021-06-12 05:40:00,35350.0,35350.5,35040.5,35046.5
2021-06-12 05:50:00,35046.5,35169.5,35002.0,35161.5
2021-06-12 06:00:00,35161.5,35211.0,35107.0,35155.5
2021-06-12 06:10:00,35155.5,35357.5,35155.5,35285.5
2021-06-12 06:20:00,35285.5,35309.0,35214.0,35280.0
2021-06-12 06:30:00,35280.0,35280.0,35133.5,35200.0
2021-06-12 06:40:00,35200.0,35261.5,35089.0,35261.5
2021-06-12 06:50:00,35261.5,35298.5,35222.0,35289.0
2021-06-12 07:00:00,35289.0,35551.0,35288.5,35419.5
2021-06-12 07:10:00,35419.5,35420.0,35300.0,35388.0
2021-06-12 07:20:00,35388.0,35390.0,35330.0,35357.0
2021-06-12 07:30:00,35357.0,35470.5,35357.0,35465.0
2021-06-12 07:40:00,35465.0,35485.0,35376.0,35420.0
2021-06-12 07:50:00,35420.0,35423.5,35193.0,35250.0
2021-06-12 08:00:00,35250.0,35261.5,35117.0,35204.5
2021-06-12 08:10:00,35204.5,35383.5,35204.5,35264.5
2021-06-12 08:20:00,35264.5,35398.5,35264.0,35299.0
2021-06-12 08:30:00,35299.0,35319.5,35183.0,35319.5
2021-06-12 08:40:00,35319.5,35319.5,35167.0,35170.5
2021-06-12 08:50:00,35170.5,35209.0,35073.0,35165.0
2021-06-12 09:00:00,35165.0,35294.5,35038.0,35271.0
2021-06-12 09:10:00,35271.0,35365.0,35205.0,35365.0
2021-06-12 09:20:00,35365.0,35365.0,35227.5,35265.0
2021-06-12 09:30:00,35265.0,35283.0,35126.0,35146.5
