open_time,open,high,low,close,up,down,AU,AD,RSI
2021-06-12 04:40:00,35221.0,35315.0,35220.5,35286.5,,,,,
2021-06-12 04:50:00,35286.5,35287.0,35120.0,35252.5,0.0,34.0,0.0,34.0,0.0
2021-06-12 05:00:00,35252.5,35330.0,35157.0,35262.5,10.0,-0.0,5.185185185185185,16.37037037037037,24.05
2021-06-12 05:10:00,35262.5,35384.0,35209.5,35369.5,107.0,-0.0,41.6672760511883,10.504570383912249,79.87
2021-06-12 05:20:00,35369.5,35481.5,35306.0,35387.5,18.0,-0.0,35.07742262810756,7.579705733130391,82.23
2021-06-12 05:30:00,35387.5,35446.0,35350.0,35350.0,0.0,37.5,26.985630303066703,14.481832211420096,65.08
2021-06-12 05:40:00,35350.0,35350.5,35040.5,35046.5,0.0,303.5,21.615676315069933,71.9944507898874,23.09
2021-06-12 05:50:00,35046.5,35169.5,35002.0,35161.5,115.0,-0.0,38.09618355210094,59.288837894173035,39.12
2021-06-12 06:00:00,35161.5,35211.0,35107.0,35155.5,0.0,6.0,32.01209676111431,50.77843384554791,38.67
2021-06-12 06:10:00,35155.5,35357.5,35155.5,35285.5,130.0,-0.0,46.391731173433435,43.32674551878568,51.71
2021-06-12 06:20:00,35285.5,35309.0,35214.0,35280.0,0.0,5.5,40.060647819881,38.164526459148796,51.21
2021-06-12 06:30:00,35280.0,35280.0,35133.5,35200.0,0.0,80.0,34.92743954976196,43.52515366941745,44.52
2021-06-12 06:40:00,35200.0,35261.5,35089.0,35261.5,61.5,-0.0,38.149618010964915,38.247310273904944,49.94
2021-06-12 06:50:00,35261.5,35298.5,35222.0,35289.0,27.5,-0.0,36.91954523699753,33.82959547916079,52.18
2021-06-12 07:00:00,35289.0,35551.0,35288.5,35419.5,130.5,-0.0,47.27216061640357,30.08709613649775,61.11
2021-06-12 07:10:00,35419.5,35420.0,35300.0,35388.0,0.0,31.5,42.23980300536035,30.237506809893127,58.28
2021-06-12 07:20:00,35388.0,35390.0,35330.0,35357.0,0.0,31.0,37.895336133306586,30.315931096203492,55.56
2021-06-12 07:30:00,35357.0,35470.5,35357.0,35465.0,108.0,-0.0,44.88609527233155,27.292860152281264,62.19
2021-06-12 07:40:00,35465.0,35485.0,35376.0,35420.0,0.0,45.0,40.53324720642868,29.01001752520885,58.28
2021-06-12 07:50:00,35420.0,35423.5,35193.0,35250.0,0.0,170.0,36.70043471302703,42.34199074516227,46.43
2021-06-12 08:00:00,35250.0,35261.5,35117.0,35204.5,0.0,45.5,33.3085109851659,42.63385994529703,43.86
2021-06-12 08:10:00,35204.5,35383.5,35204.5,35264.5,60.0,-0.0,35.72466586204308,38.774576989232685,47.95
2021-06-12 08:20:00,35264.5,35398.5,35264.0,35299.0,34.5,-0.0,35.615884179676925,35.33040184835934,50.2
2021-06-12 08:30:00,35299.0,35319.5,35183.0,35319.5,20.5,-0.0,34.29616584869085,32.24582019860891,51.54
2021-06-12 08:40:00,35319.5,35319.5,35167.0,35170.5,0.0,149.0,31.348680577514713,42.279922168814615,42.58
2021-06-12 08:50:00,35170.5,35209.0,35073.0,35165.0,0.0,5.5,28.693051058701247,39.16419783172007,42.28
2021-06-12 09:00:00,35165.0,35294.5,35038.0,35271.0,106.0,-0.0,35.15607164527042,35.88999001069902,49.48
2021-06-12 09:10:00,35271.0,35365.0,35205.0,35365.0,94.0,-0.0,40.01637866352733,32.92559971230471,54.86
2021-06-12 09:20:00,35365.0,35365.0,35227.5,35265.0,0.0,100.0,36.74766776911664,38.40452684861463,48.9
2021-06-12 09:30:00,35265.0,35283.0,35126.0,35146.5,0.0,118.5,33.77643158606739,44.8806539710507,42.94
2021-06-12 09:40:00,35146.5,35207.0,35102.0,35198.0,51.5,-0.0,35.196089957270324,41.28571221739248,46.02
2021-06-12 09:50:00,35198.0,35240.0,35083.0,35226.5,28.5,-0.0,34.66434396087056,38.00715528040343,47.7
2021-06-12 10:00:00,35226.5,35261.5,35094.0,35100.5,0.0,126.0,31.933399970085205,44.939452363260344,41.54
2021-06-12 10:10:00,35100.5,35121.5,34573.5,34831.5,0.0,269.0,29.435972524463597,62.46264004992082,32.03
2021-06-12 10:20:00,34831.5,34941.5,34693.0,34924.0,92.5,-0.0,34.334836243095076,57.610492583931666,37.34
2021-06-12 10:30:00,34924.0,35815.0,34923.5,35588.5,664.5,-0.0,82.98241097167376,53.163070059940495,60.95
2021-06-12 10:40:00,35588.5,35887.0,35588.5,35825.0,236.5,-0.0,94.7656979635615,49.082523225854096,65.88
2021-06-12 10:50:00,35825.0,35825.0,35650.0,35667.5,0.0,157.5,87.5304694028977,57.360046014036634,60.41
2021-06-12 11:00:00,35667.5,35698.5,35565.5,35657.5,0.0,10.0,80.88035917414614,53.76187581592659,60.07
2021-06-12 11:10:00,35657.5,35665.5,35485.5,35509.5,0.0,148.0,74.76329933915792,60.88919634537466,55.11
2021-06-12 11:20:00,35509.5,35534.0,35446.5,35452.5,0.0,57.0,69.13254133580296,60.596283597517,53.29
2021-06-12 11:30:00,35452.5,35500.0,35412.0,35493.5,41.0,-0.0,67.02195550892368,56.05017253716598,54.46
